2020/08/19 13:31:54.854 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:24:36.526 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:24:36.526 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:25:20.243 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:25:20.244 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:25:26.118 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:25:26.118 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:25:54.168 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:25:54.168 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:26:30.440 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:26:30.440 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:26:33.032 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:26:33.034 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:26:35.374 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:26:35.375 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:27:16.014 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:27:16.014 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:27:50.018 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:27:50.018 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:29:43.219 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:29:43.219 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:31:10.371 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:31:10.371 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:32:55.496 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:32:55.496 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:33:27.751 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:33:27.751 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:35:15.130 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:35:15.130 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:35:26.224 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:35:26.225 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:35:28.954 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:35:28.954 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:36:32.349 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:36:32.349 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:37:50.145 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:37:50.145 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:37:52.962 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:37:52.962 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:38:02.366 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:38:02.366 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:38:16.014 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:38:16.014 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:38:18.850 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:38:18.850 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:38:44.511 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:38:44.511 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:39:18.036 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:39:18.036 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:41:03.584 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:41:03.584 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/22 14:43:53.471 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/22 14:43:53.471 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/23 19:17:17.936 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/23 19:17:17.936 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/23 19:17:26.227 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/23 19:17:26.227 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/23 21:21:06.229 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/23 21:21:06.229 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 13:36:27.587 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 13:36:27.589 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 13:36:33.911 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 13:36:33.911 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 13:37:00.479 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 13:37:00.479 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 14:40:07.167 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 14:40:07.167 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 14:40:21.245 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 14:40:21.245 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 17:42:38.066 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 17:42:38.067 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 17:43:15.678 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 17:43:15.678 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 17:43:19.282 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 17:43:19.282 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 17:43:26.817 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 17:43:26.817 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 17:43:30.153 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 17:43:30.154 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 17:43:37.375 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 17:43:37.375 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 17:43:39.558 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 17:43:39.558 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 18:00:21.624 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 18:00:21.624 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 18:20:49.056 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 18:20:49.056 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 18:23:20.259 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 18:23:20.259 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 18:39:28.873 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 18:39:28.873 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 18:40:11.704 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 18:40:11.704 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 18:40:20.833 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 18:40:20.833 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/27 18:40:48.929 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/27 18:40:48.929 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 21:01:55.786 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 21:01:55.788 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 21:35:48.658 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 21:35:48.658 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 21:35:51.083 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 21:35:51.083 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 21:35:53.973 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 21:35:53.973 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 21:35:56.276 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 21:35:56.276 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 21:35:58.549 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 21:35:58.549 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 21:36:07.960 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 21:36:07.960 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 22:01:06.703 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 22:01:06.705 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 22:24:10.548 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 22:24:10.548 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 22:40:53.751 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 22:40:53.751 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 22:41:06.940 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 22:41:06.941 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 22:43:11.918 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 22:43:11.918 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 22:48:37.811 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 22:48:37.811 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 22:53:49.212 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 22:53:49.212 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 22:55:53.227 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 22:55:53.227 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 22:57:40.892 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 22:57:40.892 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 22:57:43.214 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 22:57:43.214 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 22:58:42.949 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 22:58:42.949 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 23:02:57.542 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 23:02:57.542 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 23:04:41.522 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 23:04:41.522 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 23:07:47.462 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 23:07:47.462 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/28 23:12:21.779 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/28 23:12:21.779 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/29 10:59:03.735 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/29 10:59:03.738 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/29 11:49:34.601 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/29 11:49:34.601 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/29 18:24:43.476 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/29 18:24:43.477 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/29 18:25:20.669 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/29 18:25:20.669 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/29 18:25:24.670 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/29 18:25:24.670 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/29 18:25:30.599 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/29 18:25:30.599 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/30 10:27:29.314 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/30 10:27:29.314 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/30 10:27:57.098 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/30 10:27:57.098 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/30 10:38:52.379 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/30 10:38:52.379 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/30 10:40:31.847 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/30 10:40:31.847 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/30 10:44:54.795 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/30 10:44:54.795 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/30 11:29:22.345 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/30 11:29:22.345 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/30 11:29:24.667 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/30 11:29:24.667 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/30 11:29:26.899 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/30 11:29:26.899 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/30 11:29:29.418 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/30 11:29:29.418 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/30 11:29:31.662 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/30 11:29:31.662 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/30 11:29:33.997 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/30 11:29:33.998 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/30 11:29:36.374 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/30 11:29:36.374 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/30 11:30:01.354 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/30 11:30:01.354 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/30 11:30:03.428 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/30 11:30:03.429 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/30 12:22:38.361 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/30 12:22:38.361 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/30 15:00:40.692 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/30 15:00:40.692 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/31 08:10:03.294 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/31 08:10:03.294 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/31 08:11:00.579 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/31 08:11:00.579 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/31 08:17:07.075 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/31 08:17:07.075 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/31 08:21:01.313 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/31 08:21:01.313 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/31 08:21:52.447 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/31 08:21:52.447 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/31 08:36:18.009 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/31 08:36:18.009 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/31 08:42:38.698 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/31 08:42:38.698 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/31 08:50:19.836 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/31 08:50:19.837 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/08/31 08:51:24.148 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/08/31 08:51:24.148 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/01 15:29:28.771 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/01 15:29:28.771 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 09:56:21.019 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 09:56:21.022 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 10:28:04.617 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 10:28:04.617 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 10:28:07.288 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 10:28:07.289 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 10:28:13.719 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 10:28:13.719 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 10:28:52.260 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 10:28:52.260 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 10:29:25.898 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 10:29:25.898 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 10:30:15.373 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 10:30:15.373 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 10:30:50.233 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 10:30:50.233 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 10:56:50.473 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 10:56:50.474 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:12:53.548 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:12:53.548 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:28:34.825 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:28:34.825 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:29:19.038 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:29:19.039 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:29:52.535 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:29:52.535 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:30:27.617 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:30:27.617 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:32:26.774 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:32:26.774 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:32:53.261 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:32:53.261 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:33:30.079 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:33:30.080 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:34:20.743 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:34:20.743 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:40:15.856 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:40:15.856 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:45:46.756 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:45:46.756 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:46:21.311 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:46:21.312 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:46:24.006 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:46:24.006 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:48:50.575 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:48:50.576 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:48:54.264 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:48:54.265 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:49:03.839 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:49:03.839 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:49:34.803 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:49:34.803 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:50:26.787 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:50:26.787 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 11:54:56.190 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 11:54:56.190 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 12:00:42.493 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 12:00:42.493 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 12:14:30.065 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 12:14:30.065 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 12:14:42.712 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 12:14:42.713 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 12:14:48.733 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 12:14:48.733 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 12:17:25.742 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 12:17:25.742 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 12:17:42.540 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 12:17:42.540 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 12:17:44.896 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 12:17:44.896 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 12:22:02.335 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 12:22:02.335 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 12:22:09.307 [E]  Connect to the redis host 127.0.0.1:6379 failed
2020/09/02 12:22:09.307 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2020/09/02 12:22:30.597 [E]  Connect to the redis host 127.0.0.1:6379 failed
